1,2
1,15
1,49
1,50
1,52
1,94
1,95
1,111
1,168
1,195
2,89
2,99
2,104
2,154
2,166
3,5
3,125
4,45
4,46
4,53
4,65
4,108
4,115
4,136
4,137
4,147
5,15
5,17
5,27
5,36
5,89
5,107
5,142
5,166
5,180
5,195
6,9
6,54
6,57
6,66
6,78
6,107
6,124
6,127
6,136
6,141
6,158
6,165
6,167
7,8
7,24
7,56
7,90
7,113
7,167
7,171
8,28
8,47
8,55
8,57
8,100
8,126
8,130
8,137
9,17
9,130
9,134
9,162
9,182
9,200
10,45
10,68
10,114
10,122
10,137
10,140
10,146
10,169
10,176
10,183
11,64
11,71
11,73
11,102
11,133
11,198
11,200
12,66
12,69
12,87
12,110
12,115
12,136
12,163
12,164
13,23
13,60
13,74
13,125
13,135
13,153
13,173
13,188
14,19
14,58
14,70
14,90
14,106
14,126
14,137
14,175
14,187
14,193
15,22
15,41
15,68
15,76
15,105
15,126
15,138
15,168
16,22
16,34
16,40
16,58
16,71
16,110
16,141
16,164
16,178
16,191
16,199
17,28
17,33
17,84
17,119
17,167
17,169
17,176
17,187
18,37
18,43
18,79
18,80
18,92
18,111
18,124
18,129
18,152
18,177
19,43
19,55
19,87
19,151
19,158
19,179
19,195
20,58
20,84
20,102
20,152
20,198
21,40
21,45
21,71
21,75
21,95
21,157
21,186
21,199
22,26
22,27
22,55
22,59
22,65
22,86
22,87
22,117
22,153
22,166
22,172
22,175
22,196
23,24
23,25
23,123
23,126
23,149
23,158
23,175
24,62
24,70
24,72
24,79
24,143
24,144
24,185
24,188
25,26
25,31
25,63
25,73
25,116
25,140
25,144
25,182
26,37
26,39
26,95
26,107
26,117
26,118
26,162
26,169
26,175
26,182
26,187
27,62
27,67
27,93
27,156
27,176
27,188
28,69
28,78
28,103
28,108
28,118
28,121
28,124
28,180
29,41
29,42
29,48
29,69
29,122
29,125
29,129
29,133
29,170
30,45
30,48
30,81
30,93
30,103
30,105
30,176
31,51
31,63
31,95
31,105
31,128
31,168
31,176
32,34
32,38
32,60
32,65
32,112
32,122
32,142
32,147
32,163
32,181
32,187
32,197
33,54
33,71
33,78
33,86
33,111
33,154
34,39
34,118
34,123
34,128
34,146
34,157
34,164
34,177
34,196
35,70
35,84
35,111
35,123
35,144
35,178
35,179
35,181
35,194
36,64
36,73
36,93
36,119
36,134
36,200
37,38
37,47
37,121
37,122
37,129
37,135
37,176
37,178
37,200
38,66
38,76
38,113
38,125
38,150
38,174
39,42
39,67
39,93
39,130
39,137
39,141
39,144
39,149
39,176
39,187
40,49
40,93
40,95
40,102
40,111
40,131
40,142
40,163
40,190
40,198
41,48
41,66
41,76
41,106
41,133
41,136
41,177
41,200
42,83
42,94
42,108
42,110
42,116
42,131
42,139
42,167
42,169
42,183
42,184
43,86
43,121
43,134
43,146
43,186
44,50
44,56
44,75
44,169
45,74
45,98
45,104
45,136
45,144
45,150
45,158
45,186
45,190
46,48
46,55
46,95
46,189
47,53
47,69
47,78
47,79
47,163
47,167
47,168
47,182
47,186
48,106
48,190
48,192
48,198
49,64
49,68
49,86
49,100
49,122
49,151
49,154
49,174
50,75
50,82
50,112
51,52
51,81
51,96
51,135
51,157
51,161
51,195
52,75
52,91
52,92
52,122
52,141
52,184
52,187
52,191
52,197
53,66
53,71
53,122
53,141
53,159
54,58
54,62
54,63
54,73
54,95
54,111
54,134
54,138
55,72
55,82
55,115
55,116
55,135
55,136
55,152
55,155
55,173
56,63
56,92
56,95
56,97
56,121
56,129
56,145
56,151
56,179
57,59
57,104
57,132
57,137
57,161
57,172
57,184
58,62
58,82
58,188
58,196
59,97
59,105
59,198
60,84
60,87
60,93
60,109
60,121
60,183
60,192
61,89
61,94
61,97
61,98
61,119
61,160
61,164
61,172
61,185
61,200
62,67
62,79
62,109
62,138
62,139
62,141
62,149
62,164
63,72
63,87
63,91
63,110
63,127
63,140
63,153
63,166
63,175
64,100
64,119
64,139
64,147
64,166
64,187
65,87
65,97
65,109
65,117
65,138
65,171
65,183
66,67
66,94
66,161
66,186
67,96
67,116
67,150
67,154
67,163
68,121
69,74
69,98
69,105
69,125
69,129
69,132
69,142
69,170
69,172
70,91
70,147
70,149
70,183
70,193
71,96
71,127
71,134
71,178
71,185
71,186
71,192
72,95
72,110
72,127
72,133
72,144
72,155
72,157
72,169
72,175
72,186
73,82
73,86
73,104
73,115
73,136
73,143
73,154
73,159
73,165
73,172
73,177
73,183
73,196
74,130
74,134
74,146
74,162
74,163
74,164
74,180
74,197
75,85
75,98
75,99
75,131
75,143
76,140
76,179
77,83
77,115
77,154
78,93
78,95
78,121
78,130
78,141
78,146
79,95
79,98
79,126
79,128
79,146
79,174
79,176
80,84
80,110
80,129
80,137
80,142
80,143
81,82
81,110
81,132
81,164
81,182
81,190
81,194
81,195
82,93
82,94
82,126
82,146
82,164
82,183
82,196
83,109
83,139
83,159
83,163
84,91
84,122
84,137
84,156
84,171
84,172
85,127
85,165
86,88
86,90
86,133
86,177
86,198
87,90
87,97
87,111
87,115
87,127
87,130
87,175
87,193
87,195
87,196
88,90
88,125
88,150
88,158
89,100
89,112
89,136
89,142
89,181
90,106
91,100
91,114
91,158
91,197
92,94
92,123
92,125
92,184
93,99
93,120
93,140
93,144
93,178
93,180
93,192
93,193
94,100
94,104
94,137
94,159
94,162
94,183
94,185
95,124
95,146
95,152
95,182
95,189
95,198
96,101
96,109
96,116
96,134
96,143
96,144
96,153
96,156
96,164
97,99
97,112
